School Name,Active,Admissions Drop,Archived,Dropped,Total,Drop_Count,Drop_Rate
School74,1,0,4,0,5,0,0.0
School75,1,9,19,0,29,9,0.3103448275862069
School76,1,0,3,0,4,0,0.0
School77,0,3,3,0,6,3,0.5
School78,0,0,2,0,2,0,0.0
School79,0,0,6,0,6,0,0.0
School8,0,0,3,0,3,0,0.0
School80,0,0,5,0,5,0,0.0
School81,1,0,5,0,6,0,0.0
School82,0,0,1,0,1,0,0.0
School83,2,5,12,0,19,5,0.2631578947368421
School84,2,0,19,0,21,0,0.0
School85,0,0,1,1,2,1,0.5
School86,2,1,4,0,7,1,0.14285714285714285
School87,1,0,5,0,6,0,0.0
School88,1,1,11,0,13,1,0.07692307692307693
School89,1,1,3,0,5,1,0.2
School9,2,2,18,0,22,2,0.09090909090909091
School90,0,1,0,0,1,1,1.0
School91,1,4,13,2,20,6,0.3
School92,0,4,1,0,5,4,0.8
School93,1,0,7,0,8,0,0.0
School94,0,0,2,0,2,0,0.0
School95,2,0,16,1,19,1,0.05263157894736842
School96,0,0,1,0,1,0,0.0
School97,0,0,5,0,5,0,0.0
School98,0,2,8,0,10,2,0.2
School99,0,1,3,0,4,1,0.25
